tenant,brand,product_name,source_system,source_entity,source_column,landing_column,conformance_column,silver_column,source_type_name,target_type_name,nullable_flag,default_value,transform_expression,is_active
ikea,ikea,connect,cemc,ftsquestion,QUESTION_ID,question_id,question_id,question_id,int,int,false,,QUESTION_ID,true
ikea,ikea,connect,cemc,ftsquestion,QUESTION_DESC,question_desc,question_desc,question_desc,string,string,false,,QUESTION_DESC,true
ikea,ikea,connect,cemc,ftsquestion,QUESTION_RESP,question_resp,question_resp,question_resp,string,string,true,,QUESTION_RESP,true
ikea,ikea,connect,cemc,ftsquestion,REG_DATE,reg_date,reg_date,reg_date,date,date,false,,REG_DATE,true
ikea,ikea,connect,cemc,ftsquestion,UPD_DATE,upd_date,upd_date,upd_date,date,date,false,,UPD_DATE,true
ikea,ikea,connect,cemc,ftsquestion,DELETE_DATE,delete_date,delete_date,delete_date,date,date,true,,DELETE_DATE,true
ikea,ikea,connect,cemc,ftsquestion,IIP_INSERT_DATE,iip_insert_date,iip_insert_date,iip_insert_date,timestamp,timestamp,false,,IIP_INSERT_DATE,true
ikea,ikea,connect,cemc,ftsquestion,IIP_UPDATE_DATE,iip_update_date,iip_update_date,iip_update_date,timestamp,timestamp,false,,IIP_UPDATE_DATE,true
ikea,ikea,connect,cemc,ftsquestion,LOAD_DATE,load_date,load_date,load_date,string,string,true,,LOAD_DATE,true
ikea,ikea,connect,cemc,ftsreg,FTS_DETAIL_REGION_ID,fts_detail_region_id,fts_detail_region_id,fts_detail_region_id,int,int,false,,FTS_DETAIL_REGION_ID,true
ikea,ikea,connect,cemc,ftsreg,FTS_DETAIL_ID,fts_detail_id,fts_detail_id,fts_detail_id,int,int,false,,FTS_DETAIL_ID,true
ikea,ikea,connect,cemc,ftsreg,REGION_ID,region_id,region_id,region_id,int,int,true,,REGION_ID,true
ikea,ikea,connect,cemc,ftsreg,REGION,region,region,region,string,string,true,,REGION,true
ikea,ikea,connect,cemc,ftsreg,REG_DATE,reg_date,reg_date,reg_date,date,date,false,,REG_DATE,true
ikea,ikea,connect,cemc,ftsreg,UPD_DATE,upd_date,upd_date,upd_date,date,date,false,,UPD_DATE,true
ikea,ikea,connect,cemc,ftsreg,DELETE_DATE,delete_date,delete_date,delete_date,date,date,true,,DELETE_DATE,true
ikea,ikea,connect,cemc,ftsreg,IIP_INSERT_DATE,iip_insert_date,iip_insert_date,iip_insert_date,timestamp,timestamp,false,,IIP_INSERT_DATE,true
ikea,ikea,connect,cemc,ftsreg,IIP_UPDATE_DATE,iip_update_date,iip_update_date,iip_update_date,timestamp,timestamp,false,,IIP_UPDATE_DATE,true
ikea,ikea,connect,cemc,ftsreg,LOAD_DATE,load_date,load_date,load_date,string,string,true,,LOAD_DATE,true
ikea,ikea,connect,cemc,ftssubreg,FTS_DETAIL_SUB_REGION_ID,fts_detail_sub_region_id,fts_detail_sub_region_id,fts_detail_sub_region_id,int,int,false,,FTS_DETAIL_SUB_REGION_ID,true
ikea,ikea,connect,cemc,ftssubreg,FTS_DETAIL_ID,fts_detail_id,fts_detail_id,fts_detail_id,int,int,false,,FTS_DETAIL_ID,true
ikea,ikea,connect,cemc,ftssubreg,SUB_REGION_ID,sub_region_id,sub_region_id,sub_region_id,int,int,false,,SUB_REGION_ID,true
ikea,ikea,connect,cemc,ftssubreg,SUBREGION,subregion,subregion,subregion,string,string,false,,SUBREGION,true
ikea,ikea,connect,cemc,ftssubreg,REG_DATE,reg_date,reg_date,reg_date,date,date,false,,REG_DATE,true
ikea,ikea,connect,cemc,ftssubreg,UPD_DATE,upd_date,upd_date,upd_date,date,date,false,,UPD_DATE,true
ikea,ikea,connect,cemc,ftssubreg,DELETE_DATE,delete_date,delete_date,delete_date,date,date,true,,DELETE_DATE,true
ikea,ikea,connect,cemc,ftssubreg,IIP_INSERT_DATE,iip_insert_date,iip_insert_date,iip_insert_date,timestamp,timestamp,false,,IIP_INSERT_DATE,true
ikea,ikea,connect,cemc,ftssubreg,IIP_UPDATE_DATE,iip_update_date,iip_update_date,iip_update_date,timestamp,timestamp,false,,IIP_UPDATE_DATE,true
ikea,ikea,connect,cemc,ftssubreg,LOAD_DATE,load_date,load_date,load_date,string,string,true,,LOAD_DATE,true
ikea,ikea,connect,cemc,geolocationriskdet,FTS_DETAIL_ID,fts_detail_id,fts_detail_id,fts_detail_id,int,int,false,,FTS_DETAIL_ID,true
ikea,ikea,connect,cemc,geolocationriskdet,GEO_LOCATION_ID,geo_location_id,geo_location_id,geo_location_id,int,int,false,,GEO_LOCATION_ID,true
ikea,ikea,connect,cemc,geolocationriskdet,GEO_LOCATION_DETAIL_ID,geo_location_detail_id,geo_location_detail_id,geo_location_detail_id,int,int,false,,GEO_LOCATION_DETAIL_ID,true
ikea,ikea,connect,cemc,geolocationriskdet,GEO_LOCATION_TYPE,geo_location_type,geo_location_type,geo_location_type,string,string,false,,GEO_LOCATION_TYPE,true
ikea,ikea,connect,cemc,geolocationriskdet,COUNTRY_CODE,country_code,country_code,country_code,string,string,false,,COUNTRY_CODE,true
ikea,ikea,connect,cemc,geolocationriskdet,COMMODITY_ID,commodity_id,commodity_id,commodity_id,int,int,false,,COMMODITY_ID,true
ikea,ikea,connect,cemc,geolocationriskdet,COMMODITY_NAME,commodity_name,commodity_name,commodity_name,string,string,false,,COMMODITY_NAME,true
ikea,ikea,connect,cemc,geolocationriskdet,BU_CODE,bu_code,bu_code,bu_code,string,string,false,,BU_CODE,true
ikea,ikea,connect,cemc,geolocationriskdet,BU_TYPE,bu_type,bu_type,bu_type,string,string,false,,BU_TYPE,true
ikea,ikea,connect,cemc,geolocationriskdet,HARVEST_VALID_FROM,harvest_valid_from,harvest_valid_from,harvest_valid_from,date,date,false,,HARVEST_VALID_FROM,true
ikea,ikea,connect,cemc,geolocationriskdet,HARVEST_VALID_TO,harvest_valid_to,harvest_valid_to,harvest_valid_to,date,date,false,,HARVEST_VALID_TO,true
ikea,ikea,connect,cemc,geolocationriskdet,USAGE_FROM,usage_from,usage_from,usage_from,date,date,false,,USAGE_FROM,true
ikea,ikea,connect,cemc,geolocationriskdet,USAGE_TO,usage_to,usage_to,usage_to,date,date,false,,USAGE_TO,true
ikea,ikea,connect,cemc,geolocationriskdet,COORDINATES,coordinates,coordinates,coordinates,string,string,false,,COORDINATES,true
ikea,ikea,connect,cemc,geolocationriskdet,AREA,area,area,area,double,int,true,,AREA,true
ikea,ikea,connect,cemc,geolocationriskdet,PRODUCERNAME,producername,producername,producername,string,string,true,,PRODUCERNAME,true
ikea,ikea,connect,cemc,geolocationriskdet,PRODUCTIONPLACE,productionplace,productionplace,productionplace,string,string,true,,PRODUCTIONPLACE,true
ikea,ikea,connect,cemc,geolocationriskdet,COUNTRY_VALIDATION,country_validation,country_validation,country_validation,int,int,true,,COUNTRY_VALIDATION,true
ikea,ikea,connect,cemc,geolocationriskdet,COMMODITY_VALIDATION,commodity_validation,commodity_validation,commodity_validation,int,int,true,,COMMODITY_VALIDATION,true
ikea,ikea,connect,cemc,geolocationriskdet,DEFORESTATION_VERIFICATION,deforestation_verification,deforestation_verification,deforestation_verification,int,int,true,,DEFORESTATION_VERIFICATION,true
ikea,ikea,connect,cemc,geolocationriskdet,FOREST_DEGRADATION_VERIFICATION,forest_degradation_verification,forest_degradation_verification,forest_degradation_verification,int,int,true,,FOREST_DEGRADATION_VERIFICATION,true
ikea,ikea,connect,cemc,geolocationriskdet,HCVF_VERIFICATION,hcvf_verification,hcvf_verification,hcvf_verification,int,int,true,,HCVF_VERIFICATION,true
ikea,ikea,connect,cemc,geolocationriskdet,INPUT_VALIDATION,input_validation,input_validation,input_validation,int,int,true,,INPUT_VALIDATION,true
ikea,ikea,connect,cemc,geolocationriskdet,INPUT_VALIDATION_ERROR,input_validation_error,input_validation_error,input_validation_error,string,string,true,,INPUT_VALIDATION_ERROR,true
ikea,ikea,connect,cemc,geolocationriskdet,ISRISKASSESSED,isriskassessed,isriskassessed,isriskassessed,int,int,false,,ISRISKASSESSED,true
ikea,ikea,connect,cemc,geolocationriskdet,ISRISKMITIGATED,isriskmitigated,isriskmitigated,isriskmitigated,int,int,false,,ISRISKMITIGATED,true
ikea,ikea,connect,cemc,geolocationriskdet,REG_DATE,reg_date,reg_date,reg_date,date,date,false,,REG_DATE,true
ikea,ikea,connect,cemc,geolocationriskdet,UPD_DATE,upd_date,upd_date,upd_date,date,date,false,,UPD_DATE,true
ikea,ikea,connect,cemc,geolocationriskdet,DEL_DATE,del_date,del_date,del_date,date,date,true,,DEL_DATE,true
ikea,ikea,connect,cemc,geolocationriskdet,IIP_INSERT_DATE,iip_insert_date,iip_insert_date,iip_insert_date,timestamp,timestamp,false,,IIP_INSERT_DATE,true
ikea,ikea,connect,cemc,geolocationriskdet,IIP_UPDATE_DATE,iip_update_date,iip_update_date,iip_update_date,timestamp,timestamp,false,,IIP_UPDATE_DATE,true
ikea,ikea,connect,cemc,geolocationriskdet,LOAD_DATE,load_date,load_date,load_date,string,string,true,,LOAD_DATE,true
ikea,ikea,connect,cemc,itemdds,ITEM_DDS_NO,item_dds_no,item_dds_no,item_dds_no,string,int,false,,ITEM_DDS_NO,true
ikea,ikea,connect,cemc,itemdds,ITEM_DDS_DET_NO,item_dds_det_no,item_dds_det_no,item_dds_det_no,string,int,false,,ITEM_DDS_DET_NO,true
ikea,ikea,connect,cemc,itemdds,ITEM_DDS_DECL_NO,item_dds_decl_no,item_dds_decl_no,item_dds_decl_no,string,int,false,,ITEM_DDS_DECL_NO,true
ikea,ikea,connect,cemc,itemdds,ITEM_DDS_DECL_VER_NO,item_dds_decl_ver_no,item_dds_decl_ver_no,item_dds_decl_ver_no,string,int,false,,ITEM_DDS_DECL_VER_NO,true
ikea,ikea,connect,cemc,itemdds,ITEM_NO,item_no,item_no,item_no,string,string,false,,ITEM_NO,true
ikea,ikea,connect,cemc,itemdds,ITEM_TYPE,item_type,item_type,item_type,string,string,false,,ITEM_TYPE,true
ikea,ikea,connect,cemc,itemdds,BU_CODE,bu_code,bu_code,bu_code,string,string,false,,BU_CODE,true
ikea,ikea,connect,cemc,itemdds,BU_TYPE,bu_type,bu_type,bu_type,string,string,false,,BU_TYPE,true
ikea,ikea,connect,cemc,itemdds,COMMON_ITEM_NAME,common_item_name,common_item_name,common_item_name,string,string,false,,COMMON_ITEM_NAME,true
ikea,ikea,connect,cemc,itemdds,DDS_REF_NO,dds_ref_no,dds_ref_no,dds_ref_no,string,string,false,,DDS_REF_NO,true
ikea,ikea,connect,cemc,itemdds,DDS_VERIFICATION_NO,dds_verification_no,dds_verification_no,dds_verification_no,string,string,false,,DDS_VERIFICATION_NO,true
ikea,ikea,connect,cemc,itemdds,PROD_VALID_FROM,prod_valid_from,prod_valid_from,prod_valid_from,date,date,false,,PROD_VALID_FROM,true
ikea,ikea,connect,cemc,itemdds,PROD_VALID_TO,prod_valid_to,prod_valid_to,prod_valid_to,date,date,false,,PROD_VALID_TO,true
ikea,ikea,connect,cemc,itemdds,STATUS,status,status,status,string,int,false,,STATUS,true
ikea,ikea,connect,cemc,itemdds,VOLUME,volume,volume,volume,string,int,true,,VOLUME,true
ikea,ikea,connect,cemc,itemdds,VOLUME_UOM,volume_uom,volume_uom,volume_uom,string,string,true,,VOLUME_UOM,true
ikea,ikea,connect,cemc,itemdds,WEIGHT,weight,weight,weight,string,int,false,,WEIGHT,true
ikea,ikea,connect,cemc,itemdds,WEIGHT_UOM,weight_uom,weight_uom,weight_uom,string,string,false,,WEIGHT_UOM,true
ikea,ikea,connect,cemc,itemdds,REG_DATE,reg_date,reg_date,reg_date,date,date,false,,REG_DATE,true
ikea,ikea,connect,cemc,itemdds,UPD_DATE,upd_date,upd_date,upd_date,date,date,false,,UPD_DATE,true
ikea,ikea,connect,cemc,itemdds,DELETE_DATE,delete_date,delete_date,delete_date,date,date,true,,DELETE_DATE,true
ikea,ikea,connect,cemc,itemdds,LOAD_DATE,load_date,load_date,load_date,string,string,true,,LOAD_DATE,true
